Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Livonia, MI",13000 Middlebelt Rd,Livonia,MICHIGAN,48150,USA,10,150.0,193,2018-01-20 00:00:00,42.379485,-83.32954,50284
"Pittsburgh, PA",5550 Centre Ave,Pittsburgh,PENNSYLVANIA,15232,USA,8,72.0,270,2020-10-21 00:00:00,40.456432,-79.934125,70154
"Hawthorne - El Segundo Blvd, CA",4427 W El Segundo Blvd,Hawthorne,CALIFORNIA,90250,USA,12,72.0,22,2019-11-22 00:00:00,33.918036,-118.353197,1256646
"Florence - Houston Rd, KY",4990 Houston Rd,Florence,KENTUCKY,41042,USA,12,250.0,1108,2021-05-01 00:00:00,39.011489,-84.640279,11617
"Greenville, SC",108 Carolina Point Pkwy,Greenville,SOUTH CAROLINA,29607,USA,8,150.0,304,2015-11-09 00:00:00,34.825895,-82.306973,20873
"Marquette, MI",3630 US-41,Marquette,MICHIGAN,49855,USA,8,250.0,305,2021-07-01 00:00:00,46.551944,-87.470222,50284
"Palmdale, CA",1233 Rancho Vista Blvd,Palmdale,CALIFORNIA,93551,USA,20,250.0,815,2020-10-19 00:00:00,34.606207,-118.151386,1256646
"East Templeton, MA",163 Patriots Rd,Templeton,MASSACHUSETTS,1468,USA,8,250.0,321,2022-09-12 00:00:00,42.561164,-72.040773,73768
"Roseville - Galleria Boulevard, CA",1112 Galleria Blvd,Roseville,CALIFORNIA,95678,USA,20,150.0,69,2020-02-18 00:00:00,38.767949,-121.263356,1256646
"Lincoln, NH",22 S Mountain Dr,Lincoln,NEW HAMPSHIRE,3251,USA,6,150.0,245,2016-11-24 00:00:00,44.042314,-71.668127,9861
"Red Bluff, CA",94 Belle Mill Rd,Red Bluff,CALIFORNIA,96080,USA,8,250.0,82,2019-11-26 00:00:00,40.182152,-122.227452,1256646
"Fishkill, NY",18 Westage Dr,Fishkill,NEW YORK,12524,USA,12,250.0,65,2020-03-22 00:00:00,41.52727858284335,-73.893152475357,131250
"Chestertown, NY",6151 NY-8,Chestertown,NEW YORK,12817,USA,6,250.0,259,2020-03-05 00:00:00,43.665802,-73.784266,131250
"Louisville - Towne Center Drive, KY",4100 Towne Center Dr,Louisville,KENTUCKY,40241,USA,8,250.0,211,2020-07-01 00:00:00,38.299,-85.556056,11617
"Pismo Beach, CA",333 Five Cities Dr,Pismo Beach,CALIFORNIA,93449,USA,12,250.0,12,2020-06-08 00:00:00,35.136408,-120.628662,1256646
"Deltona, FL",3400 Howland Blvd,Deltona,FLORIDA,32725,USA,8,250.0,16,2020-04-25 00:00:00,28.9498974,-81.2508045,254878
"Minnetonka, MN",13201 Ridgedale Dr,Minnetonka,MINNESOTA,55305,USA,8,250.0,294,2020-08-27 00:00:00,44.9698145,-93.4478659,37050
"Baltimore - Boston Street, MD",3779 Boston St,Baltimore,MARYLAND,21224,USA,12,250.0,9,2020-10-13 00:00:00,39.274972,-76.563528,72139
"Big Sky, MT",145 Town Center Ave,Gallatin Gateway,MONTANA,59730,USA,8,150.0,1920,2020-07-02 00:00:00,45.2606761,-111.3062058,4608
"Miami Beach - Pennsylvania Ave, FL",1661 Pennsylvania Ave,Miami Beach,FLORIDA,33139,USA,10,72.0,1,2022-04-03 00:00:00,25.79169,-80.134014,254878
"Hermosa Beach, CA",710 16th St,Hermosa Beach,CALIFORNIA,90254,USA,20,250.0,25,2020-06-10 00:00:00,33.864955,-118.394819,1256646
"Lake Placid, NY",1930 Saranac Ave,Lake Placid,NEW YORK,12946,USA,8,250.0,592,2020-07-08 00:00:00,44.294797,-74.010526,131250
"Hardeeville, SC",16319 Whyte Hardee Blvd,Hardeeville,SOUTH CAROLINA,29927,USA,8,250.0,8,2020-06-13 00:00:00,32.27012485,-81.08084499,20873
"Estero, FL",10801 Corkscrew Rd,Estero,FLORIDA,33928,USA,16,250.0,6,2022-04-06 00:00:00,26.43604,-81.773048,254878
"Waterloo, NY",1133 Ridge Rd,Waterloo,NEW YORK,13165,USA,8,150.0,156,2017-03-12 00:00:00,42.970012,-76.846134,131250
"Miami Beach - West Avenue, FL",959 West Ave,Miami Beach,FLORIDA,33139,USA,18,72.0,1,2021-07-02 00:00:00,25.780227,-80.141787,254878
"Highland Park - Skokie Valley Rd, IL",2099 Skokie Valley Rd,Highland Park,ILLINOIS,60035,USA,12,250.0,195,2021-09-01 00:00:00,42.191936,-87.826741,99573
"Hines, OR",627 Hwy 20 N,Hines,OREGON,97738,USA,8,250.0,1267,2021-05-28 00:00:00,43.572694,-119.074556,64361
"Fresno - North Blackstone Ave, CA",7965 N Blackstone Ave,Fresno,CALIFORNIA,93720,USA,8,250.0,108,2021-08-12 00:00:00,36.85085698,-119.79142427,1256646
"Beaumont, CA",1551 E 2nd St,Beaumont,CALIFORNIA,92223,USA,20,250.0,779,2020-07-02 00:00:00,33.922543,-116.949167,1256646
"Chicago - OHare, IL",1090910929 W Higgins Rd,Chicago,ILLINOIS,60666,USA,14,150.0,195,2020-07-02 00:00:00,41.99870660096533,-87.888457775115,99573
"Marianna, FL",2070 FL-71,Marianna,FLORIDA,32448,USA,8,250.0,26,2021-01-29 00:00:00,30.716016,-85.184269,254878
"Great Barrington, MA",700 Main St,Great Barrington,MASSACHUSETTS,1230,USA,8,250.0,209,2020-09-26 00:00:00,42.180663,-73.364632,73768
"Quartzsite, AZ",1451 W Main St,Quartzsite,ARIZONA,85346,USA,36,250.0,280,2013-11-14 00:00:00,33.661314,-114.242174,89798
"Santa Clara, CA",3945 Rivermark Plaza,Santa Clara,CALIFORNIA,95054,USA,16,72.0,6,2020-09-17 00:00:00,37.394816,-121.945157,1256646
"San Francisco, CA",601 Van Ness Ave,San Francisco,CALIFORNIA,94102,USA,12,72.0,26,2020-08-14 00:00:00,37.781296,-122.421394,1256646
"Lacey, WA",655 Sleater Kinney Rd SE,Lacey,WASHINGTON,98503,USA,12,250.0,64,2020-10-30 00:00:00,47.0427557461906,-122.836407423019,152101
"Smithfield, NC",1700 E Market St,Smithfield,NORTH CAROLINA,27577,USA,8,150.0,45,2019-10-04 00:00:00,35.505,-78.325583,70164
"Vienna, VA",465 Maple Ave W,Vienna,VIRGINIA,22180,USA,8,250.0,120,2020-07-16 00:00:00,38.895195,-77.273938,84936
"Chillicothe, OH",1080 N Bridge St,Chillicothe,OHIO,45601,USA,8,250.0,190,2020-09-12 00:00:00,39.35835,-82.977277,50393
"Santa Cruz, CA",911 Soquel Ave,Santa Cruz,CALIFORNIA,95062,USA,16,250.0,23,2020-07-16 00:00:00,36.978635,-122.013968,1256646
"Clayton, NM",315 S First St,Clayton,NEW MEXICO,88415,USA,8,250.0,1540,2021-04-02 00:00:00,36.449444,-103.182028,10276
"Bothell, WA",19128 112th Ave NE,Bothell,WASHINGTON,98011,USA,10,72.0,24,2020-07-08 00:00:00,47.767606,-122.191712,152101
"Brunswick, GA",500 Millennium Blvd,Brunswick,GEORGIA,31525,USA,24,250.0,9,2020-08-18 00:00:00,31.245874,-81.501667,92368
"Burley, ID",E 5th St N,Heyburn,IDAHO,83336,USA,8,250.0,1264,2020-07-08 00:00:00,42.56159,-113.790261,8501
"Modesto - Sisk Rd, CA",3900 Sisk Rd,Modesto,CALIFORNIA,95356,USA,12,250.0,22,2020-07-13 00:00:00,37.694343,-121.064215,1256646
"Farmville, VA",2016 S Main St.,Farmville,VIRGINIA,23901,USA,8,250.0,137,2020-06-25 00:00:00,37.271854,-78.401442,84936
"Springfield - Cleveland Place, NJ",697 Morris Tpke,Springfield,NEW JERSEY,7081,USA,8,250.0,53,2020-07-30 00:00:00,40.717706,-74.329462,134753
"Deptford, NJ",1750 Deptford Center Rd,Deptford,NEW JERSEY,8096,USA,12,150.0,15,2020-07-29 00:00:00,39.833413,-75.097737,134753
"Montrose, CO",533 N 1st St,Montrose,COLORADO,81401,USA,8,250.0,1769,2020-12-18 00:00:00,38.481242,-107.876472,90083
"Greenbrae, CA","Bon Air Center, Sir Francis Drake Blvd",Greenbrae,CALIFORNIA,94904,USA,14,72.0,4,2020-12-16 00:00:00,37.944776,-122.522706,1256646
"Tappahannock, VA",1804 Tappahannock Blvd,Tappahannock,VIRGINIA,22560,USA,8,250.0,11,2021-01-14 00:00:00,37.903836,-76.865734,84936
"Lakeland, FL",4320 US Hwy 98 N,Lakeland,FLORIDA,33809,USA,7,250.0,60,2020-09-03 00:00:00,28.0979989,-81.9746033,254878
"Grand Forks, ND",3601 32nd Ave S,Grand Forks,NORTH DAKOTA,58201,USA,8,250.0,255,2021-08-25 00:00:00,47.888156,-97.081142,959
"Traver, CA",36005 CA-99,Traver,CALIFORNIA,93673,USA,16,250.0,87,2020-11-18 00:00:00,36.44881,-119.486404,1256646
"Menlo Park, CA",325 Sharon Park Dr,Menlo Park,CALIFORNIA,94025,USA,18,72.0,59,2019-11-21 00:00:00,37.423372,-122.198189,1256646
"Torrance, CA",3490 Fashion Way,Torrance,CALIFORNIA,90503,USA,20,250.0,26,2021-01-22 00:00:00,33.834811,-118.349039,1256646
"Gettysburg, PA",30 Camp Letterman Dr,Gettysburg,PENNSYLVANIA,17325,USA,8,250.0,182,2020-10-15 00:00:00,39.844127,-77.19905,70154
"Chula Vista, CA",910 Eastlake Pkwy,Chula Vista,CALIFORNIA,91915,USA,16,250.0,168,2020-08-04 00:00:00,32.649168,-116.9676,1256646
"Big Pine Key, FL",251 Key Deer Blvd,Big Pine Key,FLORIDA,33043,USA,8,250.0,1,2022-09-02 00:00:00,24.673431,-81.356383,254878
"Brooksville, FL",31100 Cortez Blvd,Brooksville,FLORIDA,34602,USA,12,250.0,29,2022-01-12 00:00:00,28.522692,-82.229948,254878
"Elverson, PA",1 Marsh Rd,Elverson,PENNSYLVANIA,19520,USA,8,250.0,170,2021-12-24 00:00:00,40.121588,-75.775761,70154
